,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10
gene-001,120.5,115.2,125.8,118.3,122.1,119.7,124.3,116.9,121.4,117.8
gene-002,118.2,112.8,123.5,116.1,120.3,117.4,122.1,114.5,119.2,115.6
gene-003,122.8,117.5,128.2,120.6,124.5,121.2,126.7,118.3,123.6,119.9
gene-004,45.3,89.2,32.1,78.5,55.6,92.3,41.2,85.7,48.9,76.4
gene-005,200.1,195.8,205.3,198.7,202.4,197.2,204.8,196.5,201.9,199.3
gene-006,198.5,193.2,203.1,196.4,200.2,195.1,202.6,194.3,199.7,197.1
gene-007,85.2,42.1,95.3,38.7,78.4,51.2,88.9,45.6,82.3,49.8
gene-008,150.3,148.7,152.1,149.5,151.2,148.9,151.8,149.1,150.7,149.3
gene-009,152.1,150.5,153.9,151.3,153.0,150.7,153.6,150.9,152.5,151.1
gene-010,35.2,142.5,28.9,138.7,41.3,145.2,32.6,140.1,38.5,143.8

